EditionId	ASIN	ISBN	Title	Author	Edition Author	Binding	PublicationYear	Rating	Tags	Note	Condition	DatePurchased	PurchasePrice	DateRead	Signed	Loaned	LoanedTo	LoanedDate	LoanDueDate	DateAdded	Private	Favorites list	I plan to read list	Wish list	I've read list	I own list	I'm reading list	Review
11970	"0679731725"	"0679731725"	The Remains of the Day	Ishiguro, Kazuo	Kazuo Ishiguro	Paperback	1990	5						11/11/2012						11/11/2012		True	False	False	True	False	False	
12246	"0672326140"	"0672326140"	The Inmates Are Running the Asylum	Cooper, Alan	Alan Cooper	Paperback	2004	3												4/28/2012		False	True	False	False	False	False	
12580	"0735619670"	"0735619670"	Code Complete	McConnell, Steve	Steve McConnell	Paperback	2004													5/15/2013		False	True	False	False	False	False	
13210	"0262011530"	"0262011530"	Structure and Interpretation of Computer Programs	Abelson, Harold; Gerald Jay Sussman; Julie Sussman	Harold Abelson, Gerald Jay Sussman	Hardcover	1996													7/22/2013		False	True	False	False	False	False	
14808	"0805209999"	"0805209999"	The Trial	Kafka, Franz	Franz Kafka	Paperback	1999	4						2/21/2014						2/21/2014		False	False	False	True	False	False	
14857	"1563893428"	"1563893428"	The Dark Knight Returns	Miller, Frank; Klaus Janson; John Costanza; Lynn Varley	Frank Miller	Paperback	1997	5						8/1/2013						7/15/2009		False	False	False	True	False	False	
14896	"0307266931"	"0307266931"	War and Peace	Tolstoy, Leo	Leo Tolstoy	Hardcover	2007	4						9/2/2012						8/22/2008		False	False	False	True	False	False	
14905	"0393312836"	"0393312836"	A Clockwork Orange	Burgess, Anthony	Anthony Burgess	Paperback	1995	4						5/19/2013						5/18/2013		False	False	False	True	False	False	
14991	"1593082088"	"1593082088"	Walden and On the Duty of Civil Disobedience	Thoreau, Henry David; Paul Lauter	Henry David Thoreau	Paperback	2005	4						8/9/2013						8/5/2013		False	False	False	True	False	False	
16278	"0787951986"	"0787951986"	Emotional Intelligence at Work	Weisinger, Hendrie	Hendrie Weisinger Ph.D.	Paperback	2000													2/1/2011		False	False	False	False	False	False	
16375	"0743217373"	"0743217373"	The Great Bridge	McCullough, David G.	David McCullough	Hardcover	2001	5						4/5/2014						3/30/2014		False	False	False	True	False	False	
16527	"0140447571"	"0140447571"	The Communist Manifesto	Marx, Karl; Friedrich Engels	Karl Marx, Friedrich Engels	Paperback	2002	3						1/1/2008						8/22/2008		False	False	False	True	False	False	
16626	"0811200124"	"0811200124"	Labyrinths	Borges, Jorge Luis	Jorge Luis Borges	Paperback	1988	4						8/19/2012						8/19/2012		False	False	False	True	False	False	
17410	"0393324869"	"0393324869"	Naked Economics	Wheelan, Charles J.	Charles Wheelan	Paperback	2003	4						8/1/2007						12/28/2011		False	False	False	True	True	False	
18518	"014200068X"	"014200068X"	Cannery Row	Steinbeck, John	John Steinbeck	Paperback	2002													2/5/2009		False	True	False	False	False	False	
18928	"0192545051"	"0192545051"	Oliver Twist	Dickens, Charles	Charles Dickens	Hardcover	1987													12/27/2009		False	False	False	False	False	False	
19019	"0262560992"	"0262560992"	The Little Schemer - 4th Edition	Friedman, Daniel P.; Matthias Felleisen; Duane Bibby	Daniel P. Friedman, Matthias Felleisen	Paperback	1995													6/21/2013		False	True	False	False	False	False	
19948	"0201633612"	"0201633612"	Design Patterns	Gamma, Erich; Richard Helm; Ralph Johnson; John Vlissides	Erich Gamma, Richard Helm, Ralph Johnson, John Vlissides	Hardcover	1994	5						4/9/2013						3/3/2013		True	False	False	True	False	False	
20590	"0374528373"	"0374528373"	The Brothers Karamazov	Dostoyevsky, Fyodor	Fyodor Dostoevsky	Paperback	2002													2/5/2009		False	False	False	False	False	False	
20937	"0465069347"	"0465069347"	The Republic Of Plato: Second Edition	Plato	Plato	Paperback	1991	4						1/5/2010						11/22/2009		False	False	False	True	False	False	
21568	"020161622X"	"020161622X"	The Pragmatic Programmer	Hunt, Andrew; David Thomas	Andrew Hunt, David Thomas	Paperback	1999	4						5/2/2013						4/21/2013		False	False	False	True	False	False	
21727	"0436202948"	"0436202948"	Animal Farm	Orwell, George	George Orwell	Hardcover	1995	5						9/3/2013						8/22/2008		True	False	False	True	False	False	
25887	"0143036580"	"0143036580"	The End of Poverty	Sachs, Jeffrey	Jeffrey Sachs	Paperback	2006	4						5/1/2008						8/22/2008		False	False	False	True	False	False	
26219	"0385334206"	"0385334206"	Breakfast of Champions	Vonnegut, Kurt, Jr.	Kurt Vonnegut	Paperback	1999	3						1/1/2007						7/14/2009		False	False	False	True	False	False	
26224	"0141301066"	"0141301066"	Matilda	Dahl, Roald	Roald Dahl	Paperback	1998	5						4/15/2014						4/16/2014		True	False	False	True	False	False	
